Instance,HiGHS,SCIP
30n20b8,537,69
50v-10,5508,timeout
academictimetablesmall,timeout,timeout
air05,22,24
app1-1,23,3
app1-2,2860,549
assign1-5-8,timeout,timeout
atlanta-ip,timeout,timeout
b1c1s1,timeout,timeout
bab2,timeout,timeout
bab6,timeout,timeout
beasleyC3,15,5
binkar10_1,26,28
blp-ar98,1930,timeout
blp-ic98,1027,timeout
bnatt400,3710,111
bnatt500,timeout,353
bppc4-08,timeout,timeout
brazil3,2371,7198
buildingenergy,timeout,timeout
cbs-cta,44,16
chromaticindex1024-7,timeout,timeout
chromaticindex512-7,1778,2444
cmflsp50-24-8-8,timeout,timeout
CMS750_4,540,565
co-100,timeout,2901
cod105,76,43
comp07-2idx,1759,timeout
comp21-2idx,timeout,timeout
cost266-UUE,2252,1737
cryptanalysiskb128n5obj14,2251,timeout
cryptanalysiskb128n5obj16,2490,1607
csched007,1152,965
csched008,timeout,467
cvs16r128-89,timeout,timeout
dano3_3,67,52
dano3_5,290,196
decomp2,3,1
drayage-100-23,1,4
drayage-25-23,1,7
dws008-01,timeout,timeout
eil33-2,46,51
eilA101-2,2211,timeout
enlight_hard,14,1
ex10,32,17
ex9,2,2
exp-1-500-5-5,3,2
fast0507,226,129
fastxgemm-n2r6s0t2,5128,366
fhnw-binpack4-4,timeout,timeout
fhnw-binpack4-48,timeout,30
fiball,17,440
gen-ip002,1540,681
gen-ip054,771,558
germanrr,timeout,timeout
gfd-schedulen180f7d50m30k18,timeout,timeout
glass-sc,4977,1927
glass4,1340,102
gmu-35-40,6407,timeout
gmu-35-50,timeout,timeout
graph20-20-1rand,3469,10
graphdraw-domain,1116,556
h80x6320d,13,27
highschool1-aigio,timeout,timeout
hypothyroid-k1,7,11
ic97_potential,timeout,timeout
icir97_tension,831,1890
irish-electricity,timeout,timeout
irp,13,8
istanbul-no-cutoff,356,60
k1mushroom,191,607
lectsched-5-obj,timeout,timeout
leo1,6633,timeout
leo2,timeout,timeout
lotsize,1310,timeout
mad,timeout,timeout
map10,710,466
map16715-04,3363,882
markshare_4_0,148,90
markshare2,timeout,timeout
mas74,1186,985
mas76,102,69
mc11,30,100
mcsched,334,125
mik-250-20-75-4,28,21
milo-v12-6-r2-40-1,5263,4713
momentum1,timeout,timeout
mushroom-best,1186,5931
mzzv11,47,228
mzzv42z,102,170
n2seq36q,38,308
n3div36,timeout,5096
n5-3,29,20
neos-1122047,7,3
neos-1171448,45,3
neos-1171737,4345,timeout
neos-1354092,timeout,timeout
neos-1445765,49,19
neos-1456979,255,3025
neos-1582420,21,34
neos-2075418-temuka,223,timeout
neos-2657525-crna,timeout,timeout
neos-2746589-doon,513,timeout
neos-2978193-inde,14,1074
neos-2987310-joes,3,9
neos-3004026-krka,1738,112
neos-3024952-loue,abort,1666
neos-3046615-murg,timeout,timeout
neos-3083819-nubu,16,9
neos-3216931-puriri,71,5067
neos-3381206-awhea,1,3
neos-3402294-bobin,84,117
neos-3402454-bohle,timeout,timeout
neos-3555904-turama,timeout,timeout
neos-3627168-kasai,66,timeout
neos-3656078-kumeu,timeout,timeout
neos-3754480-nidda,timeout,timeout
neos-3988577-wolgan,858,timeout
neos-4300652-rahue,timeout,timeout
neos-4338804-snowy,timeout,2777
neos-4387871-tavua,timeout,timeout
neos-4413714-turia,57,138
neos-4532248-waihi,timeout,timeout
neos-4647030-tutaki,timeout,timeout
neos-4722843-widden,130,573
neos-4738912-atrato,440,1201
neos-4763324-toguru,timeout,timeout
neos-4954672-berkel,timeout,timeout
neos-5049753-cuanza,timeout,timeout
neos-5052403-cygnet,timeout,timeout
neos-5093327-huahum,timeout,mismatch
neos-5104907-jarama,timeout,timeout
neos-5107597-kakapo,timeout,5432
neos-5114902-kasavu,timeout,timeout
neos-5188808-nattai,timeout,993
neos-5195221-niemur,timeout,871
neos-631710,timeout,timeout
neos-662469,623,timeout
neos-787933,670,1
neos-827175,1,4
neos-848589,1294,6220
neos-860300,6,12
neos-873061,380,timeout
neos-911970,31,27
neos-933966,98,2647
neos-950242,17,98
neos-957323,74,70
neos-960392,14,332
neos17,5,5
neos5,108,667
neos8,2,5
neos859080,1,1
net12,660,241
netdiversion,573,4140
nexp-150-20-8-5,211,704
ns1116954,timeout,timeout
ns1208400,67,96
ns1644855,611,263
ns1760995,timeout,6295
ns1830653,215,97
ns1952667,4537,timeout
nu25-pr12,3,2
nursesched-medium-hint03,6368,timeout
nursesched-sprint02,7,21
nw04,28,16
opm2-z10-s4,timeout,timeout
p200x1188c,1,2
peg-solitaire-a3,2552,timeout
pg,5,24
pg5_34,154,2422
physiciansched3-3,timeout,timeout
physiciansched6-2,32,407
piperout-08,13,12
piperout-27,20,14
pk1,205,61
proteindesign121hz512p9,timeout,timeout
proteindesign122trx11p8,timeout,timeout
qap10,75,25
radiationm18-12-05,2238,timeout
radiationm40-10-02,timeout,timeout
rail01,746,timeout
rail02,2069,timeout
rail507,387,123
ran14x18-disj-8,815,777
rd-rplusc-21,timeout,timeout
reblock115,2021,2675
rmatr100-p10,56,99
rmatr200-p5,timeout,timeout
rocI-4-11,584,61
rocII-5-11,timeout,6965
rococoB10-011000,timeout,timeout
rococoC10-001000,152,533
roi2alpha3n4,1103,911
roi5alpha10n8,timeout,timeout
roll3000,32,28
s100,timeout,timeout
s250r10,286,1738
satellites2-40,595,timeout
satellites2-60-fs,471,timeout
savsched1,5777,timeout
sct2,558,timeout
seymour,timeout,timeout
seymour1,85,32
sing326,timeout,timeout
sing44,6609,timeout
snp-02-004-104,1303,timeout
sorrell3,timeout,timeout
sp150x300d,1,1
sp97ar,6929,timeout
sp98ar,3041,6629
splice1k1,timeout,2734
square41,timeout,timeout
square47,timeout,timeout
supportcase10,timeout,timeout
supportcase12,timeout,timeout
supportcase18,timeout,timeout
supportcase19,timeout,timeout
supportcase22,timeout,timeout
supportcase26,2313,timeout
supportcase33,119,254
supportcase40,1252,873
supportcase42,timeout,timeout
supportcase6,timeout,timeout
supportcase7,61,96
swath1,8,8
swath3,99,100
tbfp-network,608,339
thor50dday,timeout,timeout
timtab1,59,42
tr12-30,339,371
traininstance2,timeout,timeout
traininstance6,266,timeout
trento1,2292,timeout
triptim1,56,1270
uccase12,225,timeout
uccase9,timeout,timeout
uct-subprob,1997,1406
unitcal_7,83,446
var-smallemery-m6j6,timeout,3608
wachplan,1892,643
